,T98G,RD,A-673,L-1236,786-0,A498,A549,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-15,HCT116,HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MCF7,MDA-MB-231,MDA-MB-468,MOLT-4,NCI-H226,NCI-H322M,NCI-H522,NCIH23,OVCAR-4,OVCAR-5,OVCAR-8,OVCAR3,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC62,UO-31,TC-71,HDLM-2,L-428,A2780,A375,A427,ES2,HT144,LOVO,MDAMB436,NCIH1650,NCIH2122,NCIH520,OCUBM,OV90,PA1,RKO,RPMI7951,SKMES1,SW837,UWB1289,VCAP,A2058
DDR1,5.568795617,6.521101268,5.293040728,4.321071299,5.246924299,6.677258165,6.266697179,6.108279909,4.443329867,6.264789769,4.113085851,7.064371167,6.088957475,7.13712843,7.347793898,6.984764955,7.097004617,6.209571876,5.265811161,4.75216461,6.981377149,6.269830261,4.886417377,5.994367802,5.874305582,5.360941572,7.905372685,4.406090896,8.326385254,4.38361732,5.716167765,6.804782217,6.237641572,5.808666906,5.662637978,6.779417721,5.842352245,7.33175476,6.398665111,4.126720421,4.8605293,4.797250877,7.080247667,5.077771827,5.748135594,3.853178709,5.65832106,5.655714678,5.204159211,6.46299987,3.829646851,6.195982531,7.461071952,5.304653359,6.725469406,5.624649376,4.012272982,6.623125074,4.984946908,5.983953074,4.017087112,4.463846062,6.255400785,5.76929438,4.386321217,5.264844322,7.432285898,4.563225713,7.042326737,6.310373307,5.408206035,7.888548127,5.392512079,4.619346462,5.330402164,5.039075594,5.431634173,7.434718283,5.913494534,6.0837687,6.210050526
LPGAT1,6.711597298,6.371568992,6.174656764,7.045342941,6.013726679,7.477274539,9.20871038,7.037138967,6.078891316,7.501484951,6.555180595,6.285814199,6.765872916,9.329852792,6.549541209,6.158952528,6.831737311,7.445656934,7.671860546,6.373066435,6.285898099,6.146730211,6.302148188,6.724465376,6.028406151,7.212858084,5.24243081,7.101673509,8.39011487,5.512450519,6.529591792,6.123849978,6.535041346,6.145757564,5.423152411,7.217762874,4.507603045,5.660050107,5.615080893,3.506747489,6.62801633,7.3162067,6.703192435,6.406629221,6.008991384,6.291546249,7.869236757,6.756219189,6.791008002,6.363955846,6.835200394,6.271888267,4.45444853,7.367764622,5.905464712,6.679223143,6.449382934,5.557349723,5.844072482,6.493828512,5.528148971,6.848011545,6.845368654,6.642718428,6.170594273,6.821611383,5.550500025,7.475974986,6.444188314,7.922536237,5.732755313,6.520391983,6.116231133,4.723806212,6.857617995,5.326713187,7.083535349,6.023852574,4.970558117,4.459824101,7.725005251
DUSP11,7.279661166,7.733832108,7.464872958,8.575138605,7.530827753,8.248473267,8.065138666,7.662556142,7.210169591,7.705306277,7.695832047,8.159910578,8.058266753,7.15332733,7.850707061,7.314628884,8.103091818,7.721518779,7.616737973,7.982016178,7.109627568,7.710866373,8.037691225,7.563256362,8.261380812,7.69472957,8.143518756,9.459474306,7.314675565,7.926107263,7.785036312,7.98790843,8.414660948,8.192098781,7.723615298,6.992881402,7.699074275,7.370850422,7.727132879,7.940685491,8.045833993,7.829184512,7.07665356,7.328969558,7.470138667,7.708152003,8.001122713,7.454263558,8.437372091,7.40088375,8.186139004,7.035359967,6.888443991,7.676082967,7.079858979,7.940347421,8.03235459,7.963102732,7.667381593,8.045339596,8.362373695,7.65522736,7.451235176,8.132054771,7.239814063,7.067513503,5.263597759,8.061623998,8.109577695,7.867342042,7.356929854,7.762171164,7.489554232,7.844262609,8.427508777,8.004751177,7.453520474,7.809377648,8.312232914,7.405172057,6.96887591
TP53BP2,6.889912006,7.145672521,8.167301421,8.956690195,6.373603408,8.061536368,6.071997137,7.601515594,7.69912582,7.373105796,5.693378246,6.817389274,7.153955947,6.662174803,6.355703338,6.763819034,6.891650754,6.518901292,7.217846547,6.929413202,6.506009889,7.292158968,8.028879443,6.693687709,7.022406719,6.93436284,5.97247349,6.806666283,7.298173975,7.166835145,5.902607216,6.500068659,7.62423789,6.81377225,7.173314484,6.389974799,7.213540741,6.659043971,5.96150732,3.257251533,8.294527222,7.569188944,6.571137681,6.475751929,6.680211647,6.268630492,6.413277074,7.185511261,7.11735161,6.794339046,7.637713074,6.527892489,5.803419593,8.183473599,6.463150202,6.663137982,6.440503639,7.445735314,6.949837939,8.662260657,7.816021653,7.779187402,7.106563935,6.917546159,6.557440321,6.960545603,6.493665818,8.317083474,6.430646651,6.543650433,6.646943987,7.111933269,7.592320379,6.583729394,7.455105654,6.484351633,7.050771345,6.549870835,7.881041449,6.093570144,7.566123138
TJP1,7.333518554,7.623158582,6.32243644,3.12602127,7.33222203,7.652015768,8.163525811,8.120719261,6.891701236,7.73457309,3.068607999,7.940841847,8.528933536,8.326968384,7.906168546,8.459534918,8.0403477,7.514965932,8.034259646,8.13966858,8.195967983,8.24466674,7.223214584,7.554621927,7.182834174,6.618097421,7.887548821,7.623495734,7.75916795,3.051815531,7.852330042,8.768472934,7.901265144,7.862995288,8.612044433,8.569590006,7.871798488,7.663644329,7.433472007,2.81749927,7.751544409,7.857914277,7.815342694,7.745114835,7.441877184,4.936395298,7.048739197,8.162659674,8.260494129,7.302826968,3.12245246,7.775731451,6.905759213,8.21055132,7.783612816,5.910137329,6.901355834,7.697114549,4.210010623,2.814845275,4.905247266,7.757910522,6.53677871,7.987601086,6.974706447,7.489866816,7.523824016,8.049729364,7.485994261,7.784321774,7.01508836,7.903833531,8.266201126,8.473003441,7.905555813,7.45353261,8.356997234,8.31886075,7.30896492,7.935894262,6.508213462
MTHFD2,10.62929315,10.10646432,11.10443626,11.30976226,10.86490852,9.714021479,10.24067379,10.0011883,9.764341171,9.675127809,10.15919289,10.03261566,10.36241915,10.01273587,10.45245159,10.81627282,11.43876596,9.548112638,10.77105925,10.85779042,10.96372796,10.49581304,11.39384701,11.30547581,10.98300208,9.576904592,10.94564285,11.00936338,10.37715716,10.25222801,9.815877998,10.34418109,10.29818345,10.74948388,11.43453894,9.580711228,10.64933924,10.29994521,9.482447716,11.13800839,8.520406473,10.50120671,9.89744524,8.872931262,9.842560464,9.450097338,10.59417305,10.66901214,10.45819433,9.100921865,10.66797242,10.31734942,10.93465721,9.548564176,11.32013956,9.59297166,9.768191679,8.532393204,10.84872938,10.54569306,10.43824162,10.91769434,9.827889476,11.18959239,10.87203163,10.42623095,11.62370094,10.58311475,11.12737139,10.6351262,10.96640572,10.74924112,10.36204502,10.16160299,10.35961432,10.26636366,10.19039251,10.87767202,11.0366937,9.040249773,10.60392089
PRAF2,5.176110459,3.630693895,4.436077028,3.527802929,4.654191125,4.607703388,4.968154384,3.987452031,5.393756865,4.506528583,4.386600128,4.34810815,3.380768567,4.51217599,3.511837016,4.717036887,4.956765303,3.328327514,5.061746453,4.761905356,3.19837813,4.107629582,2.985484545,3.954035846,4.075703438,3.978095838,3.335908595,4.779111553,3.520369271,4.504746159,3.610298403,3.115097531,5.046660772,3.803513106,4.258074896,2.923077861,5.398814888,3.730700251,3.122837262,3.355311726,4.752282134,4.716692107,5.66142199,3.75425614,4.290058941,4.973344028,3.673408717,4.861253491,3.282977128,5.630472612,3.911247387,3.731158692,5.736340249,3.388007205,4.483889253,5.03449222,5.681154546,3.744493846,3.715583199,4.264448658,3.14601117,3.929987539,7.385021373,3.652770319,4.676411498,4.276414248,3.525005278,4.283768627,3.635684543,3.565087926,4.027142925,3.701226631,3.37059705,4.358454033,2.713641354,6.679698378,3.454897851,3.438539419,3.236363003,3.499096311,4.777850186
DNTTIP2,9.062650553,9.015764105,8.975713199,9.01900409,7.691193738,8.604942325,8.272866147,8.240702416,9.692474123,7.648708174,9.055185804,7.938918762,8.915525848,8.389999761,9.416550114,8.194725448,8.541789714,7.407594592,8.835108493,8.505239517,8.150293966,7.679623288,8.97968194,7.425059281,8.423768189,9.222106513,8.616674021,8.73906398,9.621058289,9.20609915,9.526585197,9.060936943,9.420868073,9.261096171,9.571695043,8.255628363,9.574724407,9.099102647,9.052027425,8.262019774,9.52126022,8.796449523,8.57200036,8.332389475,8.801500319,7.981773175,8.899452538,7.610408382,8.588413006,8.598910994,9.345575286,8.553517209,8.893362393,9.640724185,8.877597285,5.471207908,7.491392849,8.087082764,8.910482028,9.36867255,9.627823842,8.783084461,8.788845719,8.138851908,8.608444381,8.481972531,9.064777293,9.232744768,8.791680333,9.720272447,8.485112311,8.26217267,8.908759837,9.087220209,9.269441265,8.447125554,9.131151109,7.998784878,9.666071237,8.174178501,8.390833049
HTATSF1,6.807942325,6.788617669,7.665080539,7.258112025,5.566502447,6.641649529,7.20395493,5.659917048,7.786808289,6.784699531,7.443479095,7.224434633,6.601948883,6.065239541,7.01179474,6.184555607,6.830011825,7.185349479,7.169523707,6.679920057,7.230848263,7.097055229,6.913013718,7.21759939,6.708172392,7.166318969,7.375561558,6.713992531,9.186847806,7.90735587,6.902028517,6.474915598,7.194355579,7.884941935,7.099320412,6.369347994,6.40956962,7.06723812,6.920990613,7.653712339,6.437453915,7.376925859,6.721058548,7.081745302,7.950538559,6.624213836,6.621528844,6.39074293,7.997352247,6.730399114,7.1451429,6.609911884,5.690689122,6.602388702,6.422100292,5.947555068,6.706797093,6.177900566,7.847951634,6.998255438,7.508185236,7.046229959,6.308208039,7.327208861,6.44697106,5.630891171,6.46445108,6.977763259,7.846471036,6.797947081,7.36371149,7.754527988,6.694363357,6.724046975,6.628083494,5.821625647,7.202631482,6.394799576,8.061035257,6.514978893,6.362034649
NCAPD2,8.173409318,7.597858467,7.229170625,7.640481748,8.574499152,6.866205947,6.298447821,7.375096483,7.281989746,7.340469703,8.62913132,5.571330196,9.119098858,6.936952087,7.71929202,8.558175363,7.434745974,7.543910644,6.283874314,7.877812435,8.00780213,7.252218165,7.85554996,7.374248487,5.920925623,8.664727549,6.564958633,7.775319994,8.096084062,8.321566957,8.731269357,7.962254515,6.870403265,10.16210559,8.025130681,6.660612045,6.28221024,7.554918667,6.981546314,8.920397523,7.066506669,8.881057195,7.118917412,8.094606839,7.798359077,7.491762414,6.23415139,5.021190384,9.021832768,6.669619511,7.888114769,7.412545776,6.184445908,8.535811085,7.495330084,7.546205103,7.614749193,7.299894647,6.378564677,9.736478268,9.1638752,8.256876924,7.334077217,8.544856408,7.48875864,7.120821105,8.189683976,8.856680748,7.474129411,7.291680554,7.999011617,8.720393663,8.410265798,7.275376928,7.562246455,7.426511309,7.315064255,8.036461573,8.403392667,6.867205072,6.763296964
TMEM109,6.500011404,6.110726184,6.133385704,4.598235419,6.091838939,5.636192976,5.167563992,5.233874724,6.251186099,5.542338399,6.607046762,4.670732556,6.132659064,5.003058923,5.637000614,5.235757907,4.678396099,5.732102874,5.947703724,7.152912642,4.916179764,5.996606262,5.104354,5.154976382,6.169172375,6.156684679,4.881067133,6.362403544,6.203414674,6.210200635,6.833199785,5.320307537,5.609151233,5.202200506,5.666609348,6.293181524,5.914193155,4.475613192,7.027152881,7.116649774,5.936603293,5.768813905,4.859467774,5.90076659,4.933795054,5.127135879,5.217724958,5.426225992,6.805482266,6.138894692,5.957762418,5.624099754,5.850718649,6.201048705,4.37689424,5.463124669,5.635716593,5.619141487,5.68632063,6.560679691,6.228561875,5.09507944,5.786913777,4.97556341,5.627521799,5.397127767,4.766620223,4.946039059,5.929477983,5.023301999,4.149975335,6.734209488,5.962545268,4.984217853,4.945065908,6.013018642,5.294544655,4.485118238,6.160110822,5.258382838,6.061912171
ICAM1,3.285323664,3.377754758,3.102316798,8.028528167,7.97323211,7.576913967,3.234186577,3.390003196,4.875941165,7.044800294,3.411593738,3.138049862,7.208211559,3.05444729,4.408908554,6.288286691,3.690266873,6.812779141,8.421024145,5.357412558,3.723461014,3.127431401,5.619316837,3.203694754,3.839915955,6.699607309,3.309710553,6.423040284,6.081729369,3.277190361,7.61146655,7.59015088,3.178974884,6.842025482,3.905421834,5.469914134,7.247782517,3.539222167,4.272690802,7.598334323,8.017674361,3.789039114,4.753280682,4.444253651,5.707252029,7.680105469,5.81488635,3.38301022,3.124397438,6.151031434,6.824162769,3.369031735,4.01782498,5.539505903,2.913738993,7.853717323,7.832276916,6.568580626,3.21365287,7.635209987,7.435852458,3.020182141,7.997736704,7.507756789,6.380871391,7.50688248,3.380935455,6.771392766,3.416646551,3.900590877,3.108966314,2.820548276,3.604627239,4.402420129,5.869649513,8.699955748,6.145088365,3.370216832,7.871781142,3.307455132,5.474027902
NUP93,9.345112279,9.8176593,9.393829021,8.979668691,8.978722168,8.438361463,8.118505657,8.810170285,9.23194022,8.525094334,9.931242005,7.69590215,10.0276821,8.675121795,8.588506548,8.514102573,8.755373924,8.993409463,8.816797053,8.739505146,7.797146625,9.763184271,9.305764153,8.793790513,9.779389098,10.17728006,8.703231457,9.932482361,9.472497226,9.950516248,8.391936235,9.3552471,9.149015345,10.19436152,9.339690826,8.555221593,9.437306763,8.707294647,8.882700315,9.347404426,8.920378219,9.407830532,9.060143339,8.843231635,9.368940567,10.07501914,9.232670651,9.387053742,10.67434902,8.641838653,9.571835949,9.897593345,8.184994442,9.452008524,9.022278098,10.1574441,8.749941011,8.842895527,9.230168313,8.411154995,9.51847553,8.98252624,8.791859877,8.740644408,9.237524021,9.199089957,8.226755821,9.036351141,9.708848628,8.782500341,10.21479395,9.570783924,8.917810675,10.1334757,9.09751455,9.063393,10.08081648,9.231714728,10.1911905,9.651079041,10.34076412
PLA2G15,4.220605714,4.194263595,3.489994485,3.822503788,4.387969091,4.380390561,3.587478412,4.103447094,3.801267636,4.442336177,3.780345931,3.669644845,3.784844571,3.523650453,3.412149604,3.720457301,3.606543222,4.127579569,4.26774408,4.330414699,3.666110564,3.871116572,4.096443922,3.685323694,3.779554159,4.126780732,3.887245722,3.951287174,3.260123,3.724220222,3.49894517,3.963158676,3.684250601,3.625318201,3.55104094,3.758791227,4.05023485,3.500386512,3.926485961,5.622534062,4.03982544,3.64552664,5.246383835,4.193349721,3.878837057,4.097974865,3.430140877,4.549710012,3.914601311,4.020078133,3.778284542,4.871400307,4.198338505,3.85370347,3.815892542,3.723690521,3.817267303,4.018592926,3.541743875,3.334699896,3.691942891,3.484047625,4.098932247,3.732303934,3.603136968,3.747726714,4.152421649,3.710700297,3.742125189,3.288428717,3.860209336,3.568421704,3.808677913,3.91263803,4.424299305,4.56374647,4.157578588,3.849491378,3.709225877,3.873424369,3.979405607
