,T98G,RD,A-673,L-1236,786-0,A498,A549,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-15,HCT116,HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MCF7,MDA-MB-231,MDA-MB-468,MOLT-4,NCI-H226,NCI-H322M,NCI-H522,NCIH23,OVCAR-4,OVCAR-5,OVCAR-8,OVCAR3,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC62,UO-31,TC-71,HDLM-2,L-428,A2780,A375,A427,ES2,HT144,LOVO,MDAMB436,NCIH1650,NCIH2122,NCIH520,OCUBM,OV90,PA1,RKO,RPMI7951,SKMES1,SW837,UWB1289,VCAP,A2058
PSME1,9.626926923,9.965173201,10.0997713,10.25508665,11.01916087,9.590806081,9.902617039,10.1917154,9.622741811,9.665835902,10.97018552,9.697016149,9.498765247,9.874750853,10.14037297,10.65497746,9.93595647,9.978867939,10.88658915,9.025685936,10.17679981,10.09774723,8.806222245,10.02309639,10.09637775,8.666349201,10.05155683,10.21363219,9.867351539,11.06759768,10.43466326,10.4948824,9.14209871,9.168751469,10.12104822,11.10525168,10.22462609,10.35818152,10.21605449,10.43815429,10.22811596,8.955868076,10.36241227,9.936420399,9.642730047,9.06136612,8.775463166,9.544306563,9.884195503,9.432358794,10.74510446,9.800881475,10.2055599,9.879093886,10.13004644,8.882394745,9.268121106,10.20267435,9.569616606,11.24885414,11.07423141,9.991259582,9.655204182,9.894979238,9.863123538,9.91781954,9.904796255,10.97310566,9.612255022,9.996780712,9.964818253,9.263626245,9.412461647,9.510182468,10.13596363,10.36525207,9.945166629,10.98159933,10.15712291,9.545056667,9.580042488
CISD1,4.629682722,5.01780516,5.136151439,4.842413919,4.665033589,5.304322157,5.13371269,5.460133083,5.521360413,5.008259563,5.034810127,5.334943031,5.378491959,5.198354164,5.91928611,5.070155666,5.037166245,4.996930567,5.594241828,4.521054432,4.766565779,5.329610733,5.302804878,5.666584462,5.289920353,5.788401177,5.016284878,5.851858123,4.760084234,4.718679986,4.796286978,4.706047398,4.974919965,4.723763725,6.14180606,4.869265267,4.833752674,5.2972442,6.241445637,5.189427036,4.982208163,4.767289766,4.78926243,4.670723547,4.811171611,4.735069755,4.671465255,4.800417174,4.923977763,4.714682556,5.553765506,5.49486511,5.781862993,5.719184837,4.772807501,4.571246671,4.655129942,4.593786953,5.520073928,5.628209693,5.626125273,5.357614616,4.5977462,7.439369428,5.889402773,4.137811701,4.755038358,5.814052296,4.546877794,5.781082514,5.6420932,5.256482935,4.94425987,5.74275744,5.152729056,4.47450553,5.373538718,4.693912722,5.133188268,4.532765958,5.341071116
SPDEF,3.711061049,3.647139691,3.426461496,3.56710097,3.486798189,3.41967248,5.413826218,3.745671715,3.507609089,3.522412687,3.866711088,4.545431492,3.992943494,5.418015358,3.532354902,3.498954486,3.751991716,3.538229961,3.90767631,3.460463655,5.821771633,3.757280822,4.075847836,3.969375304,3.550507005,3.414056969,7.52987972,3.66782202,7.016406067,3.630240071,3.665688039,3.936840788,3.684521146,3.594802679,3.626894473,3.77505146,3.717984432,3.569168015,8.051723406,3.776200261,3.634813328,3.670492591,3.665017826,3.491135203,3.902722802,3.76668528,3.493388695,4.013670211,3.60429853,3.597753043,3.611114593,4.322693516,8.176066844,3.74600945,3.476717675,3.513892614,3.487958214,3.554037662,3.662262477,3.465190888,3.853292518,3.360042326,3.370823313,3.409718029,3.608861488,3.723500585,4.398036307,3.562155974,3.433647646,4.944711853,3.602640592,9.636210905,4.42686451,3.298414611,3.617865853,3.435303638,3.703971531,3.66554617,3.779196379,8.535436056,3.619220242
ATF1,6.508164882,5.774312893,6.417007841,7.073410045,5.495467561,5.705776391,6.529459572,6.899597613,6.268398277,6.053872393,6.69066508,7.019751079,6.730934774,6.120372209,7.183046689,6.240594754,6.609338494,6.444385698,6.315738837,5.645201134,6.304881365,6.347810673,6.870737039,6.539689322,7.198222326,6.509628268,7.647628192,6.195220344,6.257297262,6.541911054,7.336907634,5.956612284,6.001912187,7.0508842,7.250774293,5.864732378,6.058646088,6.466960887,6.27049433,6.758046834,5.797913574,6.271837633,6.150453429,6.537689618,5.898993825,5.399090026,5.999484693,6.745884979,7.099470917,6.483226444,6.185600749,6.816727575,6.534375567,6.456660984,6.871051779,5.987437068,5.944959014,6.246479124,6.646101308,6.557204456,7.167129067,6.609057092,6.513911731,7.415306674,6.889832801,6.224719248,7.735986332,6.032638958,6.620252186,6.608974745,6.65375278,5.419172113,6.939917665,6.023278424,6.944434508,5.908319419,5.525323232,6.45961467,6.833754661,6.491363213,6.314057379
RHEB,6.789912561,6.443504037,7.134506557,4.893052541,6.174309056,7.187329871,6.131564444,7.043346078,7.078920636,7.430572294,6.162387564,5.549341041,7.386444951,6.206743744,6.25538591,5.920130679,5.51040906,6.709998604,7.981870568,6.502347958,7.305143674,6.302300129,6.449791143,6.107604217,5.46810635,7.379602254,6.646969142,7.463261281,6.942511097,6.145182387,7.244204343,4.882469736,6.671508166,7.103135593,7.391494867,7.016480784,6.351010443,6.304566946,6.614150367,6.175702514,7.737971396,7.204436965,6.567423066,6.706573473,7.322910519,5.733404194,7.15797349,6.077587918,7.295863136,6.842096663,6.333063742,6.746470167,5.42147645,7.29508603,6.688843537,7.532444589,6.30563312,6.418198292,5.995898757,4.958352842,4.938045872,6.400431002,5.910826243,5.921603432,6.767868965,6.734466272,6.94484304,7.22223232,5.954181199,6.324631386,6.32586722,5.890804051,7.092426573,6.602858501,6.676600079,5.978498198,6.634530103,5.735443818,6.302462108,6.269791719,6.481991207
IGF1R,3.88247037,4.45022328,4.406446941,3.527525934,3.997575979,3.466086727,5.520734247,4.799975712,3.741050791,4.500483384,3.515662397,5.504219349,4.085082247,4.823152908,4.489209956,3.903236326,3.271744778,4.656686012,3.802967278,4.539310087,4.486403554,3.348747885,3.390663758,4.342175536,4.211260039,4.811881754,5.755060257,3.606814787,3.413255518,3.956876321,6.107302864,4.621154996,4.623865211,5.474264881,4.104779608,5.008583704,4.45400694,3.42150637,3.454899489,4.647987297,4.608278572,4.049105513,3.764011711,3.439063582,4.760592244,5.412487816,4.920328235,4.008942796,3.537365324,4.149274089,4.59557243,4.05379704,4.610442874,4.597858847,4.948861978,5.31421947,4.167154942,4.097728825,4.230859966,3.067996081,3.818209698,3.422279741,5.541896764,3.566287655,4.170520089,5.12898309,4.388959871,3.273326699,3.932075019,5.107897271,3.115281305,3.338403878,5.408891005,5.14725015,4.070517656,4.029045183,3.525299461,4.745766301,4.255239363,6.231489611,4.374877762
FOXO3,7.670381573,8.594285231,6.843850166,8.689244065,8.576885809,8.007774209,6.17184897,7.772749245,8.450232729,7.72503459,7.281965803,7.440630013,6.857300812,8.19433847,7.825568385,8.057977488,8.365452022,6.63039214,7.752752316,8.571065593,8.740577783,7.554709458,6.868379101,7.435698388,7.447661681,6.557172647,8.133067838,7.444125934,8.825367838,7.610410983,7.101258821,7.435047448,7.045489312,6.757255389,8.339859087,7.62096012,7.434631691,8.04915381,6.786300472,10.29511742,8.58602609,7.489301657,8.007964097,8.31184082,7.817872524,7.737331958,7.989695689,7.999348506,6.955135706,8.520441263,5.099188466,7.668956265,8.132177092,7.95745822,7.968365103,7.139573139,7.511050566,8.294414498,7.220617012,7.909100971,6.960059081,7.068179461,7.469255258,7.118423536,7.529793935,7.253369881,8.494564148,8.165352406,6.918196543,6.485874158,6.349991267,9.147759745,6.334950251,7.071767645,7.960005764,8.498573703,7.697805501,8.166390551,8.0860891,9.651082267,7.551489287
RHOA,10.64702219,10.20688234,9.736698956,10.70682327,10.38637085,9.993682088,10.19312607,10.29720853,10.55673305,10.44699109,10.53293222,9.777544197,10.57872872,9.635588638,10.72239279,10.75299465,10.75661954,10.57730412,10.28157047,11.13102823,10.10778002,10.37716574,10.05625843,10.62497285,10.3325133,10.48659343,10.01526673,10.77405866,10.41231616,10.42796642,11.00824474,9.470824174,9.930127838,10.35491152,8.442625919,10.2806138,11.45783837,10.38127015,10.93381039,10.22549968,10.26459443,10.88000113,10.55437113,10.62330725,11.09788995,10.34965621,10.46319363,9.971631028,11.26569299,10.95481132,10.1540087,10.25317026,9.882348969,10.65298514,10.10203204,10.00073512,10.09976663,10.9968547,10.53196144,10.58040779,10.79020874,10.75566819,10.23350406,10.29399615,10.61708626,10.31624673,10.18338059,10.18974574,10.55894428,10.47172983,9.607392949,9.823357343,10.10230763,10.72416247,10.62338718,10.71242346,9.789342272,9.525494206,10.54625131,10.23789622,10.28704687
IL1B,4.793283286,3.365902062,3.194725359,3.191968879,3.538022202,3.97022014,3.301253586,3.169926357,3.133952606,3.243391849,3.297155508,3.360697287,2.838403214,3.155112726,3.147151647,3.723339791,2.852080283,7.252741143,7.674055711,7.490058545,3.483192242,3.050866497,3.108283673,3.309851568,12.08474814,2.958838951,3.128194574,9.899957479,3.18606448,2.919692341,7.015602114,3.757393981,3.371997073,3.37745309,3.412985543,3.943251386,6.127637442,3.111641954,6.930488063,2.987255411,3.41789291,5.757207409,9.506650901,3.374652849,3.413650117,3.628522552,7.806660443,3.79875492,3.044749228,3.252638071,3.049040648,3.284544228,2.941572072,3.200388777,3.15741431,3.02384586,4.236691068,4.814514286,3.105289439,2.769441457,3.542347137,3.022178071,3.783308432,3.374497917,9.979309229,3.148195201,3.454597677,11.22811482,3.043041091,9.16229359,3.456997531,2.917666526,3.145425436,3.037114826,3.151617523,11.14399166,5.964898472,4.023951734,5.926269753,3.273885424,2.858332218
ASAH1,7.536555944,8.803890629,6.683098768,9.289695109,7.381698911,6.97745764,9.019313037,9.426373563,7.916303379,8.441847179,6.371535215,8.710670416,8.169286205,9.254778735,8.871048196,8.114607195,8.271038097,8.247806936,7.812182839,7.666365199,7.357197416,8.260994933,8.078970368,8.646078541,6.510482099,9.247467135,7.860662262,6.538757733,7.831985844,6.734514031,7.619840255,8.782680292,5.93509006,6.614368365,8.048105052,7.431211518,8.496870665,9.824318867,7.574473496,7.817230567,8.787401923,7.221549968,7.703139646,9.105869982,10.75917349,11.1854464,10.00279879,9.312059995,7.795523138,8.509566388,6.679069181,7.828547693,8.637337519,6.857844922,7.67510739,10.63585262,8.50132279,8.079065855,7.46355639,6.417685151,7.301385039,8.669063149,7.188441201,8.343693872,7.676299832,10.06318399,7.097960696,8.005688021,7.729840771,8.778853664,7.607393042,8.536097842,7.89532519,7.541056091,8.73401749,8.462384646,7.525163183,7.689581723,7.808443802,8.64707983,10.38525718
RALA,6.847584919,6.474916691,6.757620665,6.41950528,8.747127882,8.161217665,6.230612588,5.995711011,6.252024658,6.309823394,6.299100858,6.922733564,6.617863699,6.615681068,7.806462451,5.970108945,6.346699768,6.284189934,7.309811065,8.347476018,6.844985241,6.348020743,7.449529883,7.066473236,7.341822384,6.923902438,6.324296947,6.932331615,8.28379899,5.782651849,7.479591295,6.320969392,6.650190801,7.288730647,7.745193548,6.331529369,6.126311152,7.195607464,6.865553955,6.553019142,8.323120847,7.250883342,6.848893851,7.115369071,6.938379705,6.457202496,8.945982639,6.044202547,6.979638853,6.706070712,7.553652853,6.170344572,7.12659428,8.22080603,6.141794368,6.096479345,7.360179018,6.58971303,6.716691212,6.682534883,6.509222338,6.501487459,6.744435263,6.791735863,7.388188425,7.178795377,8.717216431,7.3911355,7.935169815,8.107937942,7.08898906,6.977510181,6.300655968,7.336508861,6.574020076,8.071948457,7.589185033,6.412943868,6.531801791,5.945653263,7.55572439
ARHGEF12,4.348798829,3.940259541,5.097383499,4.147240468,3.973832734,3.993494974,4.125036148,4.546040199,4.645019204,4.269081851,3.30100008,4.807365129,4.679789501,4.108566836,4.444989974,4.423542104,4.972206125,4.203601395,4.36868866,4.655891528,5.056940636,4.242470918,4.309373921,4.248400373,4.178659483,4.061036092,4.291437496,4.741069386,4.748866624,3.320839888,4.646036743,4.289577328,3.885371172,4.086464535,4.471236777,5.165582496,4.149601941,3.712643874,4.110715368,3.65950822,4.073384978,4.696303058,5.076706231,3.971645984,3.64107445,3.581804617,3.694633687,4.932769399,4.443754308,4.226719806,4.05583986,4.400026662,4.731549223,3.683113558,4.198733872,3.998733273,4.02402499,4.392013597,4.235280152,4.333642592,4.012756611,4.224038538,4.246472604,3.774929964,4.037677895,3.863014112,5.721246466,3.878650501,4.017180009,3.947717664,4.481461957,4.351005733,4.684609737,3.726511751,4.421655093,4.198400988,4.102396264,5.30158611,4.451681212,4.69709328,4.139519364
SERPINE1,4.035615588,5.695114242,3.417332943,3.195738214,10.59952654,9.739253374,6.247744349,4.406713681,5.045727222,8.97549599,3.371715206,3.235029529,3.352163643,4.8537812,3.141801952,3.540365624,5.8835268,9.384507479,10.13863559,11.68882481,3.634539138,3.296724735,3.781198037,3.372922366,10.00211565,3.156941992,3.538899704,9.877679557,3.764256086,3.237890809,9.926560288,3.466507167,3.37191509,3.908156277,3.852118176,3.98459328,6.927744039,3.394079582,4.690562021,3.463334318,7.439671303,10.92582139,7.35819525,8.079207669,3.986615697,3.261170325,6.055974471,3.57748686,9.941408304,5.178924519,4.346503057,5.168012043,3.45759564,3.220222344,7.533082881,3.368230037,7.04795065,9.107766416,3.283803972,3.168294533,3.399621315,3.603353479,3.175941801,3.436141568,10.69584399,3.205957604,3.433724038,9.073354566,3.327798245,3.705284681,3.593722772,3.364371951,4.24364143,10.40738264,10.06926096,10.07175984,8.051597131,4.066320312,3.326115919,3.518817682,3.092474239
EGF,3.769213683,3.023526522,5.889348989,2.904640635,2.993702571,4.401313457,2.951013114,3.163530645,2.801010483,3.585515259,2.836696308,2.880306574,2.940719682,2.912722391,2.955272643,2.860502908,3.126191403,3.360759773,2.980461897,2.864904983,2.952992763,2.99512641,3.388258421,2.954422926,2.798309463,2.998326595,2.885114504,3.000696046,3.838148779,2.913185787,3.141691279,3.507063411,2.861860751,2.75880444,2.877405706,3.772515291,3.065953327,3.115584184,3.689035624,2.890634857,3.060193406,2.849113559,3.812805988,3.136997734,3.985593078,4.011898367,3.151863779,2.983890066,2.877207112,3.040675599,2.824206959,2.885249044,3.893171814,3.030771506,5.668152604,3.52285778,3.245369755,3.157888819,4.547744615,2.976091623,2.950594621,2.84673429,3.416621007,2.838536968,2.972717961,3.25522382,3.178800918,2.89235485,2.934692435,4.26777066,4.143778286,4.16285317,3.064207309,4.343882475,2.952917272,3.2071938,3.332052982,2.947680986,3.148116264,3.044194919,4.013582871
SPTLC2,6.055404767,5.763055236,7.346268423,6.421753453,6.875035844,7.096925667,7.101957834,8.37245886,5.481235583,7.686049421,6.827350532,6.727455039,7.134445347,7.478037146,8.249695645,7.085651278,7.109670679,6.425656712,5.754998609,6.91869822,8.12282591,8.957174083,6.915805059,7.214560141,6.610120722,6.138339825,7.860857505,6.739777961,6.227377543,6.957957432,7.411828402,7.833318157,7.089942596,6.807255516,7.125765676,8.840248711,7.787987944,8.347432707,6.953955629,6.060905281,7.672070879,7.502848807,5.428084058,6.103628238,6.918137542,6.264233917,6.581650466,7.011108462,8.78966962,6.567903609,6.148746776,6.601050495,8.415104153,7.19646371,6.185684419,7.157556546,6.21634839,8.510778412,6.893328325,6.154762141,5.961513064,6.25102271,6.302413661,7.549875567,6.559630842,6.722457113,7.494303179,5.453552655,7.806686827,6.958863717,6.656500844,6.661091415,7.332202776,6.477343931,6.817297024,6.79746606,6.248605907,9.426174519,6.080695713,6.80633858,6.346010004
APP,9.864878888,9.914361731,9.56522102,3.630684859,10.91821862,9.741684501,9.707169018,10.1704103,9.952378862,10.32214393,3.510696859,9.458347817,9.980049561,9.553056795,9.329090004,9.537898614,9.76612462,10.10600106,9.112790164,8.623588413,9.155495596,10.19956916,3.217144974,8.468667794,9.640194182,9.254662816,8.353975291,9.212406828,9.086267521,3.481714205,9.091393862,9.779318478,9.297632878,9.096125807,9.592891971,10.8402037,9.778626391,10.12905294,10.14385535,9.126706218,10.5472057,9.08686528,10.21903577,9.300215806,5.202464542,10.2317615,9.45641443,10.249824,8.345280605,10.51325796,7.415704575,9.254571067,10.29617413,8.675795724,9.561402517,9.142637975,9.757444764,10.67512879,8.142130911,5.711171562,3.722268405,9.123040235,9.669002951,8.750991457,9.957787582,9.888093825,9.775145818,8.185682606,10.63642027,7.473415073,8.941503168,10.41306873,10.25273803,9.967906101,9.519523736,9.573754519,9.686976879,9.989751946,8.054581978,10.15801276,9.77106048
TSKU,6.526211766,4.283615283,5.057194537,3.517778246,6.718102088,7.030452619,8.252936457,4.547768468,4.409925275,5.318372305,3.906792935,7.020597195,4.301645292,5.990206241,5.592326439,5.878052229,5.162673486,5.369218438,4.248167531,5.782912786,6.746208922,4.409763554,4.255363739,4.172737616,4.786632208,4.101311986,6.057170232,4.561274466,5.501803147,4.044793704,6.595430272,7.109085657,5.090559214,4.29803405,3.760497127,5.344451489,4.86532964,6.473189459,4.862769743,4.93395126,5.566838945,4.0769096,5.433056366,4.748085248,4.104996657,4.5430111,4.846451765,8.845123399,3.783556697,4.63472564,4.659220533,4.310426733,5.489327647,5.374825396,5.241164712,5.696567019,4.127194046,5.10831814,4.380970291,5.647544789,3.527451563,5.222208341,4.893442978,5.210644625,5.207272742,4.564116484,4.586351791,4.30920839,5.80440946,6.247374985,5.983749859,4.614773843,4.164950087,4.733944675,5.375883509,6.257309126,5.814113072,6.558109024,4.563973694,5.002968391,5.694090985
TMEM2,5.365442245,5.61495128,5.215697439,4.20925847,5.788267031,7.662892725,7.911530712,6.924172313,6.047938302,9.018266638,4.517039635,8.071250687,7.49853853,7.327614269,6.950783648,7.078762355,5.37101573,6.172185605,5.182197065,7.660442505,7.656753053,5.215567132,6.156022588,8.026435287,5.386185722,6.512468657,5.661188461,5.544813879,6.319899814,4.705069961,7.760713351,6.040111841,4.639814907,5.908745567,7.452765173,7.974008554,7.388690095,5.093051546,4.775690152,4.185259597,6.130449159,6.214021203,6.54823356,7.820747422,6.944397428,4.606933886,8.407906906,5.989392732,5.095363589,7.25815369,7.224729582,7.858789432,4.455101724,6.007268127,8.619911068,6.082767662,6.522414793,7.503664341,4.264416858,5.021316422,7.555828842,7.603018775,8.298498813,4.296978305,4.358937793,4.851027799,5.725742108,5.195428062,7.578640326,6.368959879,6.073984514,6.242521918,8.279965439,5.098809576,4.797310093,5.132605522,5.982516014,6.278881734,4.417806394,6.630799972,6.62769198
NOS3,3.265568008,3.191837647,3.265225214,3.826730082,3.298319218,3.597597757,3.310003945,3.292539557,3.153176425,3.281281753,3.691617864,3.392421281,3.118377467,3.103620296,5.611774853,3.377581847,3.561738691,3.114523533,3.419553624,3.145723248,3.437289712,3.380554363,4.427530647,3.461503544,3.233980871,3.293092293,3.172597844,3.106141351,3.308954825,3.203804942,3.208679099,3.420275212,3.343263186,3.596540333,3.151426223,3.045481514,3.484260208,3.293067509,3.103338354,3.528792293,3.213519692,3.163674393,3.215287215,3.205804952,3.5482714,3.324196744,3.202604877,3.486545305,3.659126126,3.282021834,3.451221885,3.45389053,3.365142925,3.255609755,3.220747878,3.037315103,3.11357795,3.353064996,3.514068492,3.272409039,4.156387487,4.082620294,3.140413469,3.292431537,3.232702253,3.286290776,4.382689574,3.094471922,3.025441604,3.221385128,3.314927475,3.121589337,3.19755628,3.553536552,4.137386806,3.245475231,3.407120862,3.720061578,3.345168798,3.271240902,3.554596931
CSNK1A1,7.069285987,6.310739621,6.760490576,7.138394447,6.617917609,7.434521006,5.906526404,5.784926264,7.047221928,6.180460003,6.560737516,6.82244378,7.202505081,6.37672628,6.502732175,5.954103757,6.998356489,6.29474515,6.191833968,6.950195629,6.574575412,6.437984332,7.039471528,6.505605387,7.469743345,6.05319242,7.003524088,6.421563909,7.008475905,7.044805375,7.277039995,7.038192357,6.447634688,7.294309975,7.738605251,7.363905409,7.436073076,6.939693102,7.50697265,6.098526013,6.205654425,6.73578376,7.044762684,6.9875543,6.337743588,6.79682047,6.701529506,6.700679572,7.26362917,6.655703636,7.384750689,6.76217642,7.5627036,6.866733366,7.627144036,6.112806958,6.80138381,6.502706336,5.642168046,6.306586206,6.179913065,7.010908486,6.657661739,7.07629121,6.84704091,7.016702604,6.593156577,7.017205429,7.111866478,6.810126701,4.12813393,6.449682637,6.55148817,6.74029787,6.24210859,6.104799404,5.99745568,7.592749836,6.649682984,6.440253058,6.316233049
NFATC4,3.162613367,3.639252639,3.550685227,3.103955327,3.062545198,3.079751989,3.073301854,2.975128773,3.643573323,3.013668589,3.210925251,3.167917656,3.126098308,3.05743289,3.133819873,3.660198166,3.086115267,3.306646093,3.215580545,3.641821727,3.188492725,2.991620058,3.266591573,3.138717036,3.279032019,3.032027992,3.799047476,3.458312665,3.200515435,3.129807604,3.013723771,3.416040588,3.144917806,3.553920939,3.002275187,3.016579441,3.402941201,3.531601711,3.147711139,3.291107884,2.974493219,3.24795512,3.075468365,3.684625651,3.227580135,3.179647301,3.136160585,3.212760682,3.118867754,3.551754103,3.084979688,3.210131332,3.6404274,3.114364698,3.027126568,3.087988232,3.069395742,3.381146664,3.816186937,2.976224004,3.193974572,3.836310726,3.402814955,3.312016804,3.283045201,3.182613139,3.274451504,2.928799996,3.058242884,3.040585338,3.470497622,3.086974053,3.268811645,3.254771718,3.107290377,3.594762843,3.137636016,3.406874845,3.448925189,3.348496646,3.29569159
TBP,5.631150855,6.194247759,6.166210469,6.277410233,6.556649713,5.761203287,5.737966666,5.617634816,6.197921961,5.392718022,6.550987305,5.232345629,6.033068017,6.168137229,6.390021953,6.252924139,6.267832349,5.6261877,5.134584341,5.261244107,5.632495033,6.172328801,6.98960579,6.403091824,6.078427533,5.596218944,6.187759095,7.074048983,5.840086285,6.665371844,6.011677781,4.917504573,6.028213032,6.317961352,6.675008458,5.541087798,5.788093274,5.772906713,5.490342524,6.044273685,5.667720246,6.004567167,5.925878391,5.165959467,6.470986649,5.79330017,5.935288571,5.959135708,5.679628518,6.156973423,6.636994845,5.691393996,6.046897059,6.388689706,6.077754517,5.176446978,5.55914466,5.519926239,6.849391327,6.272042856,5.978014277,5.336230169,6.225783539,5.585323358,5.914306557,5.95424366,4.170999831,5.930565921,6.167610558,6.263848191,6.432369506,4.910548148,5.68568355,6.286665847,6.398304096,6.423066147,6.385356213,6.441529508,6.190265336,5.84421137,6.116578292
SLC2A6,4.387531361,5.327983418,3.90105729,6.6091523,4.718044085,5.524791863,4.83787353,4.760862807,6.68215233,5.138172291,5.985035424,4.028942385,6.308065653,3.896547528,4.72193288,4.430879336,4.481421382,5.611912784,4.829319533,5.171115915,5.030683806,4.976351019,3.670795497,4.144290138,4.722489872,5.216308503,3.765192784,6.177869458,4.249820398,5.34031779,6.761921459,4.952438936,3.964492498,4.900122767,4.819525994,4.92421052,5.949007149,4.566372231,5.575963374,6.89470691,6.401046236,5.765261014,4.420302312,5.723764723,4.216504608,4.862575145,4.592045102,4.113745159,5.008664391,6.151233846,4.839192954,4.410323274,4.662422886,7.216547586,4.219526591,4.985156584,4.676205763,6.632897281,4.242223783,8.035644551,8.573383262,4.536599078,4.39818042,5.371063718,4.440383415,4.379925528,4.290607996,6.951124388,6.789789957,4.257534089,5.000212086,4.387070428,4.301605162,5.604655776,6.691366569,6.033027929,5.044378206,5.900634877,6.646222606,4.301159651,5.222936836
EZH2,5.116619518,5.551158251,6.690031139,5.89426496,4.354907922,4.492926732,4.355546779,4.994945754,5.669827884,4.715421004,6.403993006,5.293528586,5.646882474,4.690807159,5.977933704,5.787397212,5.518274259,3.587267097,5.12497109,4.714041379,5.649712862,5.290008574,7.088105748,6.044294647,4.453757323,6.153964335,5.834039638,4.806235754,6.505486619,7.595736233,5.097878223,3.802413216,5.337907036,5.72617535,6.339528681,5.362184083,5.630673008,5.218823618,5.330804284,5.835512015,4.970133191,5.668625501,4.578064796,5.007672802,5.448465659,4.74124532,4.855467782,4.37095745,6.013982256,4.912239939,6.880658166,5.929202829,4.959165599,5.948579909,5.815028263,4.985477311,4.9910482,4.223018186,5.335857474,7.606884811,7.183846389,5.903038049,4.424882481,5.206878701,4.484704688,3.941523233,5.296211682,6.765434832,4.833097739,5.00213439,4.521273445,5.777059577,6.105676579,5.207302453,5.612087717,4.140020327,4.813035364,4.62586704,6.302210385,4.770832511,6.058690835
ICAM3,7.467788887,5.686832883,4.419107543,3.936904444,7.09362559,8.136775023,6.305310419,5.248633457,7.333749408,6.7688744,9.225464552,5.226364683,7.639239652,6.123058865,7.082137019,6.704479458,5.812371865,6.572492534,6.937349757,7.993203341,6.365471588,7.053279326,7.679298076,7.296445201,5.683776873,7.403586814,7.487417566,6.230191374,8.77728401,8.434472605,6.002823879,9.016448238,6.470837672,7.492371331,8.097496056,6.313960884,5.180840635,6.359068999,9.089875427,10.25426009,7.775490069,5.676683439,6.497704984,6.339157454,7.697101433,7.092104553,6.370287192,6.453692358,6.564691699,6.944197777,9.771080299,6.128914643,7.678168095,6.823935601,5.804612511,7.858963563,7.995259931,6.222392174,6.237380693,9.305377317,8.395004627,6.243335394,6.963451075,8.095036227,6.534907907,7.104220193,6.614418345,6.531548131,7.033032877,6.855084663,6.358590148,8.074453752,6.544267574,7.38656147,7.133310844,7.546062793,7.640898496,4.985127054,7.879291597,6.904856557,5.991227234
BRCA1,4.304248104,3.429690174,3.54254592,4.490912724,3.923678415,3.92532263,3.68494986,4.005676147,3.785150595,3.407931091,5.104617823,3.976866473,4.585944661,3.628911543,4.499660495,3.929255738,3.903094971,3.416251243,3.310237567,3.377639761,3.872474753,3.628729689,4.966144819,4.756613452,3.31236989,4.743103451,3.638133268,4.082020972,4.07273425,5.374776389,4.327555098,3.432641322,4.251834738,4.894337928,3.61474857,3.920844768,3.084989741,3.72883763,3.063952335,4.939125475,3.904894239,4.095556978,4.0369524,3.757361797,4.34972843,3.981507276,4.464646274,3.192708856,4.348255005,3.570404337,4.754830399,3.872101369,3.612258556,5.249218763,4.37752943,3.687942319,3.968540191,3.359773982,3.275671724,4.915998606,5.451443486,5.192653717,3.491938247,4.471812711,3.81919784,3.700770263,3.255184132,3.262575171,4.03565617,4.187568494,3.810035405,4.889547789,3.978319269,3.344068708,3.979380691,3.373300695,3.859255306,3.74926279,3.323355358,3.770121341,4.182261871
PSMD4,10.29881049,10.97411219,10.57273107,9.930646589,9.851123635,10.60383062,10.08731172,10.06280726,10.59192267,10.77285908,10.1803838,10.13620083,11.07116225,10.38789371,9.721351457,10.1570163,9.982188903,10.0575335,10.49651149,9.283605744,9.814430779,10.35224698,10.22104971,10.06210069,10.21373807,10.35053697,10.96085334,10.32079958,10.16034525,10.15987619,10.39963937,10.56840263,10.97277539,10.99777031,10.22163646,10.21071681,9.769490995,10.50960345,10.29575501,10.40139497,9.856575986,10.31058346,9.911501958,10.42214951,10.2130832,9.889728735,10.8323513,10.80122905,10.13472692,9.964543535,10.75458619,10.5939063,10.81048597,10.3415116,10.68652943,10.29685013,10.26941198,10.02041889,10.26098382,10.51307374,10.06607525,10.83550564,11.14082328,10.65890002,10.21565275,10.68643541,8.834793374,11.00740518,9.945915371,10.33275609,10.64008214,10.71880865,10.02056513,10.46193779,10.33485646,9.939051071,10.75886576,10.03571555,10.11390856,10.07427894,10.13513099
